id;nome;descricao;created_by;created_date;last_modified_by;last_modified_date
1;around far glum;hygienic misguided provided;list eek pants;2024-04-09T03:18:04;short whoa;2024-04-09T17:50:34
2;which;ravel;acidly throbbing zebra;2024-04-09T03:39:59;ugh;2024-04-09T10:22:24
3;indeed gadzooks;bah sans fair;now;2024-04-09T05:45:13;slope abnegate;2024-04-09T13:29:58
4;duh;who ugh wherever;wholly but;2024-04-09T10:37:08;mostly border;2024-04-09T16:19:37
5;unlike super;how squid;aha blah;2024-04-09T19:52:08;legend loose hmph;2024-04-09T14:13:47
6;or but intensely;aha oddball oh;where brr;2024-04-09T20:14:05;where woot;2024-04-09T17:26:16
7;doting geez;indeed smug;aw swelter as;2024-04-09T23:31:56;knowingly geez;2024-04-09T23:47:49
8;synergy when;reproachfully er;innocently deselect ramp;2024-04-09T12:46:59;really phew officially;2024-04-09T10:48:46
9;palate next;ick anenst deliquesce;unaccountably;2024-04-09T04:45:41;boss;2024-04-09T07:43:03
10;wildly;celsius;furthermore celebrate;2024-04-09T16:02:44;calculating overstay;2024-04-09T11:42:35
