id;nome;descricao;ativo;created_by;created_date;last_modified_by;last_modified_date;classe_padrao_id
1;digestive barring;unpleasant adjudge;true;except;2024-04-09T14:05:22;oof;2024-04-09T05:03:10;1
2;fat cop;duh;false;innovation finally zowie;2024-04-09T18:36:34;rekindle;2024-04-09T01:46:10;2
3;coaxingly before ah;nearly but woot;false;yuck midst that;2024-04-09T20:04:47;questionable;2024-04-09T12:24:06;3
4;qua greatly;greatly;false;uniform yet;2024-04-09T17:31:25;oof rue;2024-04-09T22:28:15;4
5;oof norm;circumnavigate esteemed exterior;true;except;2024-04-09T12:04:29;suffice;2024-04-09T18:05:08;5
6;like gosh;syringe;true;aboard given;2024-04-09T07:06:53;that gray;2024-04-10T00:09:26;6
7;blushing near fort;worthwhile roundabout;false;ack requite;2024-04-09T08:33:20;slide given;2024-04-09T15:36:56;7
8;why esteemed frantically;ornate bustling disarm;false;gee not alongside;2024-04-09T08:32:37;yowza;2024-04-09T08:37:37;8
9;hygienic;oh stint whoa;false;ew;2024-04-09T06:59:50;aw;2024-04-09T07:52:04;9
10;forsaken annual;idle warming;false;gleaming;2024-04-09T18:17:00;off ceramic;2024-04-09T15:45:07;10
